[2026-06-28 07:41:40] [INFO] test entry
[2026-06-28 07:41:40] [INFO] simulated | mode=service port=8765 url=https://example.com/hymn
[2026-06-28 07:42:25] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 07:42:31] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 07:42:49] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 07:43:11] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 07:45:23] [INFO] tunnel start | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search named_url=https://live.churchofgodtm.com/hymn_search service_installed=True service_running=True
[2026-06-28 07:45:23] [ERROR] Cloudflare Zero Trust → Networks → Tunnels → Public Hostname：/hymn_search → http://127.0.0.1:8765（必須用 http，勿用 https 或 localhost）。 | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 07:45:29] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 08:50:29] [INFO] tunnel start | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search named_url=https://live.churchofgodtm.com/hymn_search service_installed=True service_running=True use_https=True
[2026-06-28 08:50:30] [ERROR] Cloudflare 仍回 error 1033，但本機 HTTPS 已就緒。請在 Zero Trust → Public Hostname → /hymn_search 開啟 No TLS Verify（origin 用 https://localhost:8765）。 | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search cf_error=1033
[2026-06-28 08:50:30] [ERROR] Cloudflare 仍回 error 1033，但本機 HTTPS 已就緒。請在 Zero Trust → Public Hostname → /hymn_search 開啟 No TLS Verify（origin 用 https://localhost:8765）。 | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 08:51:36] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 08:51:37] [INFO] tunnel start | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search named_url=https://live.churchofgodtm.com/hymn_search service_installed=True service_running=True use_https=True
[2026-06-28 08:51:37] [ERROR] Cloudflare 仍回 error 1033，但本機 HTTPS 已就緒。請在 Zero Trust → Public Hostname → /hymn_search 開啟 No TLS Verify（origin 用 https://localhost:8765）。 | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search cf_error=1033
[2026-06-28 08:51:37] [ERROR] Cloudflare 仍回 error 1033，但本機 HTTPS 已就緒。請在 Zero Trust → Public Hostname → /hymn_search 開啟 No TLS Verify（origin 用 https://localhost:8765）。 | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 08:52:44] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 08:52:45] [INFO] tunnel start | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search named_url=https://live.churchofgodtm.com/hymn_search service_installed=True service_running=True use_https=True
[2026-06-28 08:52:45] [ERROR] Cloudflare 仍回 error 1033，但本機 HTTPS 已就緒。請在 Zero Trust → Public Hostname → /hymn_search 開啟 No TLS Verify（origin 用 https://localhost:8765）。 | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search cf_error=1033
[2026-06-28 08:52:45] [ERROR] Cloudflare 仍回 error 1033，但本機 HTTPS 已就緒。請在 Zero Trust → Public Hostname → /hymn_search 開啟 No TLS Verify（origin 用 https://localhost:8765）。 | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 08:52:53] [INFO] tunnel stop | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search
[2026-06-28 08:52:56] [INFO] tunnel start | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search named_url=https://live.churchofgodtm.com/hymn_search service_installed=True service_running=True use_https=True
[2026-06-28 08:52:57] [ERROR] Cloudflare 仍回 error 1033，但本機 HTTPS 已就緒。請在 Zero Trust → Public Hostname → /hymn_search 開啟 No TLS Verify（origin 用 https://localhost:8765）。 | mode=service port=8765 url=https://live.churchofgodtm.com/hymn_search cf_error=1033
